Comment,Designator,Footprint,LCSC
"18p","C1,C2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1797"
"2.2u","C10,C11","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49217"
"100n","C3,C4,C5,C6,C8,C9,C12,C13,C14,C15,C22,C25","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"22u","C7,C16,C17,C18,C19,C20,C21,C23,C24,C26","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C45783"
"LED","D1","LED_SMD:LED_0805_2012Metric","C2296"
"Conn_02x20_Odd_Even","J1,J2","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"Conn_02x08_Odd_Even","J3","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"Conn_01x04_Male","J4","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"Conn_01x02_Male","J5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"100u","L1","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",""
"100u","L2,L3,L4","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","C68035"
"0","R1,R9","NetTie:NetTie-2_SMD_Pad0.5mm","C532859"
"220","R10","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C53172"
"1k","R2,R5,R8","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"20k","R3,R6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C4328"
"13k","R4,R7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17455"
"STM32F373RCTx","U1","Package_QFP:LQFP-64_10x10mm_P0.5mm","C84174"
"TL074","U2","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C12594"
"AP1117-15","U3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"LM4040DCK-2.5","U4","Package_TO_SOT_SMD:SOT-353_SC-70-5","C139302"
"PCM5100","U5","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C131154"
"Crystal_GND24","Y1","Crystal:Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm_HandSoldering","C9002"
